object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K00858.01,CANDIDATE,13.61014819,2.594,5732.9,19.02,5697,4.46,0.903,Kepler,,,,,,,,,
K00859.01,FALSE POSITIVE,10.44331991,2.743,1159.8,2.66,4947,4.516,0.802,Kepler,,,,,,,,,
K00861.01,CONFIRMED,2.237489571,1.8119,315.8,1.41,5265,4.58,0.81,Kepler,,,,,,,,,
K00862.01,FALSE POSITIVE,5.851520671,3.11058,33004,14.62,5532,4.53,0.806,Kepler,,,,,,,,,
K00863.01,CONFIRMED,3.167893418,2.1814,781.2,2.62,5895,4.503,0.94,Kepler,,,,,,,,,
K00864.01,CONFIRMED,4.311780262,2.7251,1154,3.11,5527,4.484,0.927,Kepler,,,,,,,,,
K00864.02,CONFIRMED,20.0504494,4.556,840.9,2.69,5527,4.484,0.927,Kepler,,,,,,,,,
K00864.03,CONFIRMED,9.76734503,1.6585,569.1,2.67,5527,4.484,0.927,Kepler,,,,,,,,,
K00865.01,CANDIDATE,119.0207044,8.1405,7430.5,8.98,5453,4.342,1.062,Kepler,,,,,,,,,
K00119.02,CONFIRMED,190.3200468,15.284,1141.7,7.78,5626,3.907,2.057,Kepler,,,,,,,,,
K00866.01,FALSE POSITIVE,2.861159894,1.8832,1014.3,4.37,6126,4.458,1.021,Kepler,,,,,,,,,
K00880.01,CONFIRMED,26.44439337,3.9783,1843.5,3.91,5427,4.463,0.929,Kepler,,,,,,,,,
K00880.02,CONFIRMED,51.53997972,6.3994,3644.3,5.51,5427,4.463,0.929,Kepler,,,,,,,,,
K00880.03,CONFIRMED,5.902245782,2.9003,702.3,2.43,5427,4.463,0.929,Kepler,,,,,,,,,
K00880.04,CONFIRMED,2.382951591,1.8876,391.6,1.86,5427,4.463,0.929,Kepler,,,,,,,,,
K00881.01,CONFIRMED,21.02250608,4.1072,1772.5,3.07,5067,4.585,0.75,Kepler,,,,,,,,,
K00869.04,CONFIRMED,3.219814777,2.0642,488.2,1.69,5103,4.562,0.787,Kepler,,,,,,,,,
K00870.01,CONFIRMED,5.912273234,2.3254,961.4,1.73,4072,4.696,0.57,Kepler,,,,,,,,,
K00870.02,CONFIRMED,8.98581901,2.8606,881.3,1.65,4072,4.696,0.57,Kepler,,,,,,,,,
K00871.01,CANDIDATE,12.94066866,2.4845,42450,22.94,5875,4.572,0.809,Kepler,,,,,,,,,
K00120.01,FALSE POSITIVE,20.5452375,2.517,218.5,2.41,5670,4.206,1.264,Kepler,,,,,,,,,
K00872.01,CONFIRMED,33.60123371,4.4056,7425.9,8.46,5149,4.447,0.93,Kepler,,,,,,,,,
K00872.02,CONFIRMED,6.76652928,2.9004,450.7,1.97,5149,4.447,0.93,Kepler,,,,,,,,,
K00873.01,CONFIRMED,4.347288783,2.1024,451.6,2.36,5754,4.345,1.122,Kepler,,,,,,,,,
K00874.01,CONFIRMED,4.601811819,2.2607,755.9,2.35,4986,4.496,0.833,Kepler,,,,,,,,,
K00874.02,CONFIRMED,11.18719905,3.252,353.6,1.55,4986,4.496,0.833,Kepler,,,,,,,,,
K00875.01,CONFIRMED,4.220965778,3.0854,2260,2.62,3837,4.747,0.517,Kepler,,,,,,,,,
K00876.01,FALSE POSITIVE,6.998099523,2.0488,20285,588.66,5612,4.566,0.829,Kepler,,,,,,,,,
K00877.01,CONFIRMED,5.95489993,2.3892,1410.7,2.33,4261,4.641,0.633,Kepler,,,,,,,,,
K00877.02,CONFIRMED,12.03987488,2.7363,1250.6,2.18,4261,4.641,0.633,Kepler,,,,,,,,,
K00877.03,CONFIRMED,20.83762895,2.3734,439,1.42,4261,4.641,0.633,Kepler,,,,,,,,,
K00121.01,FALSE POSITIVE,8.8111022,5.0683,401.1,63.66,6200,3.8,2.404,Kepler,,,,,,,,,
K00878.01,CONFIRMED,23.58917143,5.073,1200.7,3.16,4919,4.566,0.721,Kepler,,,,,,,,,
K00123.01,CONFIRMED,6.481633073,3.784,298.5,2.54,5945,4.213,1.302,Kepler,,,,,,,,,
K00892.01,CONFIRMED,10.37168928,3.035,1254.9,3.2,5121,4.457,0.888,Kepler,,,,,,,,,
K00892.02,CONFIRMED,3.96996298,1.1757,299.2,1.78,5121,4.457,0.888,Kepler,,,,,,,,,
K00893.01,CONFIRMED,4.40841331,5.012,549.4,2.66,6007,4.457,0.961,Kepler,,,,,,,,,
K00894.01,FALSE POSITIVE,7.9426176,6.703,1590.7,4.68,5811,4.521,0.926,Kepler,,,,,,,,,
K00881.02,CONFIRMED,226.8904775,7.558,3136.4,4.53,5067,4.585,0.75,Kepler,,,,,,,,,
K00882.01,FALSE POSITIVE,1.956811408,2.1958,24905,21.58,5209,4.657,0.603,Kepler,,,,,,,,,
K00883.01,CANDIDATE,2.688899233,2.11275,37492,12.04,4820,4.667,0.639,Kepler,,,,,,,,,
K00884.01,CONFIRMED,9.439459486,2.8979,3036.1,4.16,5097,4.597,0.779,Kepler,,,,,,,,,
K00122.01,CONFIRMED,11.52306746,3.8757,507.3,3.13,5644,4.162,1.411,Kepler,,,,,,,,,
K00884.02,CONFIRMED,20.47748843,2.8364,1382.4,2.92,5097,4.597,0.779,Kepler,,,,,,,,,
